"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест 2: Переключение языка на английский
","6375","test_switch_to_english[chromium]","tests","Wed Mar 04 18:00:18 UTC 2026","passed","Wed Mar 04 18:00:24 UTC 2026","","test_events_widget","",""
"
Тест 1: Проверка загрузки страницы
","3874","test_page_loads[chromium]","tests","Wed Mar 04 18:00:14 UTC 2026","passed","Wed Mar 04 18:00:18 UTC 2026","","test_events_widget","",""
