"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест 2: Переключение языка на английский
","6111","test_switch_to_english[chromium]","tests","Wed Mar 04 19:10:25 UTC 2026","passed","Wed Mar 04 19:10:31 UTC 2026","","test_events_widget","",""
"
Тест 1: Проверка загрузки страницы
","2418","test_page_loads[chromium]","tests","Wed Mar 04 19:10:23 UTC 2026","passed","Wed Mar 04 19:10:25 UTC 2026","","test_events_widget","",""
