"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Переключение языка","0","0","Интернационализация","0"
"1","","0","Загрузка страницы","0","0","Проверка базовой функциональности","0"
