"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест 2: Переключение языка на английский
","6115","test_switch_to_english[chromium]","tests","Wed Mar 04 19:07:19 UTC 2026","passed","Wed Mar 04 19:07:25 UTC 2026","","test_events_widget","",""
"
Тест 1: Проверка загрузки страницы
","2609","test_page_loads[chromium]","tests","Wed Mar 04 19:07:16 UTC 2026","passed","Wed Mar 04 19:07:19 UTC 2026","","test_events_widget","",""
