"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Загрузка страницы","1","0","Проверка базовой функциональности","0"
"0","","0","Переключение языка","1","0","Интернационализация","0"
